Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
-0.02,-0.015131797,0.141284186
-0.0198,0.019455167,0.141284186
-0.0196,0.019455167,0.518042017
-0.0194,0.019455167,0.141284186
-0.0192,0.019455167,0.141284186
-0.019,0.054042132,0.518042017
-0.0188,0.019455167,0.518042017
-0.0186,-0.015131797,0.141284186
-0.0184,0.019455167,0.141284186
-0.0182,0.054042132,0.141284186
-0.018,0.019455167,0.518042017
-0.0178,0.054042132,0.141284186
-0.0176,0.019455167,0.141284186
-0.0174,0.019455167,0.141284186
-0.0172,0.019455167,0.141284186
-0.017,-0.015131797,0.141284186
-0.0168,-0.015131797,0.518042017
-0.0166,0.019455167,0.141284186
-0.0164,0.019455167,0.141284186
-0.0162,0.019455167,0.141284186
-0.016,-0.015131797,0.141284186
-0.0158,-0.015131797,0.141284186
-0.0156,-0.015131797,0.141284186
-0.0154,-0.015131797,0.141284186
-0.0152,-0.015131797,0.141284186
-0.015,-0.015131797,0.141284186
-0.0148,-0.015131797,0.141284186
-0.0146,-0.015131797,0.141284186
-0.0144,0.019455167,0.141284186
-0.0142,-0.015131797,0.141284186
-0.014,0.019455167,0.141284186
-0.0138,-0.015131797,0.141284186
-0.0136,0.019455167,0.141284186
-0.0134,0.019455167,0.141284186
-0.0132,0.019455167,0.141284186
-0.013,0.019455167,0.141284186
-0.0128,0.054042132,-0.235473644
-0.0126,0.019455167,0.141284186
-0.0124,0.054042132,0.141284186
-0.0122,0.054042132,0.141284186
-0.012,0.054042132,-0.235473644
-0.0118,0.054042132,0.518042017
-0.0116,-0.015131797,-0.235473644
-0.0114,-0.015131797,0.141284186
-0.0112,-0.015131797,0.141284186
-0.011,0.019455167,-0.235473644
-0.0108,-0.015131797,0.141284186
-0.0106,-0.015131797,0.141284186
-0.0104,-0.015131797,0.141284186
-0.0102,-0.015131797,0.141284186
-0.01,0.054042132,0.141284186
-0.0098,-0.015131797,0.141284186
-0.0096,-0.015131797,0.141284186
-0.0094,0.019455167,-0.235473644
-0.0092,0.019455167,-0.235473644
-0.009,0.019455167,0.141284186
-0.0088,-0.015131797,0.141284186
-0.0086,0.019455167,-0.235473644
-0.0084,-0.015131797,0.141284186
-0.0082,0.019455167,0.141284186
-0.008,0.019455167,-0.235473644
-0.0078,0.019455167,-0.235473644
-0.0076,0.054042132,0.141284186
-0.0074,0.019455167,-0.235473644
-0.0072,0.019455167,0.141284186
-0.007,-0.015131797,-0.235473644
-0.0068,-0.015131797,-0.235473644
-0.0066,-0.015131797,-0.235473644
-0.0064,0.019455167,-0.235473644
-0.0062,-0.015131797,-0.235473644
-0.006,-0.015131797,-0.235473644
-0.0058,0.019455167,-0.235473644
-0.0056,-0.015131797,-0.235473644
